CONTENT          stedelijke uurfactor
COMP             NO2
YEAR             2015
VERSION          1.0
RELEASE_DATE     4/3/2016
DATE_FORMAT      YYMMDD
DATA_FORMAT      F7.3
NODATA           -9.999

150128  05  0.462
150128  06  0.747
150128  07  0.676
150128  08  1.654
150128  09  1.814
150128  10  1.548
150128  11  1.202
150128  12  0.989
150128  13  1.023
150128  14  1.268
150128  15  1.491
150128  16  1.219
150128  17  2.291
150128  18  1.773
150128  19  1.706
150128  20  1.098
150128  21  0.818
150128  22  0.818
150128  23  0.879
150128  24  0.325
150129  01  0.484
150129  02  0.404
150129  03  0.228
150129  04  0.787
150129  05  0.594
150129  06  0.731
150129  07  1.182
150129  08  2.219
150129  09  2.739
150129  10  2.530
150129  11  1.428
150129  12  1.419
150129  13  1.462
150129  14  1.757
150129  15  2.331
150129  16  2.667
150129  17  2.992
150129  18  3.769
150129  19  3.532
150129  20  2.638
150129  21  2.245
150129  22  2.246
150129  23  3.903
150129  24  2.203
150130  01  1.658
150130  02  0.819
150130  03  0.091
150130  04  0.509
150130  05  0.938
150130  06  1.332
150130  07  1.449
150130  08  3.801
150130  09  4.043
150130  10  4.593
150130  11  5.262
150130  12  4.174
150130  13  1.716
150130  14  1.786
150130  15  1.265
150130  16  1.588
150130  17  2.605
150130  18  3.621
150130  19  3.508
150130  20  1.536
150130  21  2.362
150130  22  3.665
150130  23  2.317
150130  24  1.142
150131  01  2.382
150131  02  2.941
150131  03  2.309
150131  04  1.007
150131  05  1.113
150131  06 -0.111
150131  07  0.618
150131  08  0.894
150131  09  1.232
150131  10  1.558
150131  11  2.836
150131  12  1.828
150131  13  1.183
150131  14  1.100
150131  15  1.361
150131  16  2.925
150131  17  3.845
150131  18  3.699
150131  19  3.922
150131  20  4.003
150131  21  5.821
150131  22  4.131
150131  23  3.453
150131  24  2.355
150201  01  3.309
150201  02  1.966
150201  03  1.719
150201  04  2.019
150201  05 -0.641
150201  06 -0.475
150201  07  1.043
150201  08  0.440
150201  09  0.559
150201  10  1.097
150201  11  1.480
150201  12  1.545
150201  13  1.651
150201  14  1.215
150201  15  0.143
150201  16 -0.107
150201  17  1.366
150201  18  1.560
150201  19  2.689
150201  20  1.832
150201  21  1.999
150201  22  0.994
150201  23  2.095
150201  24  1.337
150202  01 -0.046
150202  02 -0.131
150202  03  0.228
150202  04  0.116
150202  05  1.186
150202  06  1.151
150202  07  3.307
150202  08  4.306
150202  09  4.520
150202  10  3.970
150202  11  4.223
150202  12  2.559
150202  13  2.819
150202  14  1.542
150202  15  2.367
150202  16  2.779
150202  17  3.780
150202  18  4.671
150202  19  4.757
150202  20  4.259
150202  21  2.620
150202  22  3.640
150202  23  1.548
150202  24  1.224
150203  01  0.122
150203  02 -0.368
150203  03  1.061
150203  04  1.441
150203  05  2.069
150203  06  2.558
150203  07  4.040
150203  08  5.093
150203  09  6.932
150203  10  8.142
150203  11  4.345
150203  12  3.159
150203  13  2.364
150203  14  1.695
150203  15  0.046
150203  16  1.113
150203  17  2.502
150203  18  3.118
150203  19  2.012
150203  20  1.393
150203  21  1.465
150203  22  1.627
150203  23  2.658
150203  24  3.283
150204  01  1.157
150204  02  1.054
150204  03  0.018
150204  04  0.835
150204  05  1.644
150204  06  3.078
150204  07  5.922
150204  08  7.078
150204  09  7.171
150204  10  8.553
150204  11  4.832
150204  12  2.549
150204  13  0.502
150204  14  0.462
150204  15  1.607
150204  16  2.093
150204  17  0.689
150204  18  2.193
150204  19  2.308
150204  20  0.515
150204  21  0.410
150204  22 -0.884
150204  23  0.637
150204  24  0.380
150205  01  0.028
150205  02  0.022
150205  03  0.000
150205  04  0.483
150205  05  0.722
150205  06  1.365
150205  07  1.774
150205  08  1.400
150205  09  2.611
150205  10  2.237
150205  11  0.712
150205  12  1.018
150205  13  1.512
150205  14  1.070
150205  15  0.370
150205  16  0.741
150205  17  0.754
150205  18  0.580
150205  19  0.254
150205  20  0.279
150205  21  0.075
150205  22  0.459
150205  23  0.241
150205  24  0.132
150206  01 -0.024
150206  02 -0.095
150206  03  0.038
150206  04  0.141
150206  05  0.286
150206  06  0.258
150206  07  0.488
150206  08  0.441
150206  09  1.160
150206  10  0.897
150206  11  1.105
150206  12  0.419
150206  13  0.617
150206  14  0.524
150206  15  0.460
150206  16  0.656
150206  17  0.454
150206  18  0.672
150206  19  0.554
150206  20  1.354
150206  21  1.030
150206  22  1.451
150206  23  1.699
150206  24  1.984
150207  01  1.850
150207  02  2.072
150207  03  2.167
150207  04  1.638
150207  05  1.291
150207  06  1.653
150207  07  1.873
150207  08  1.520
150207  09  3.049
150207  10  4.083
150207  11  3.440
150207  12  2.541
150207  13  1.955
150207  14  1.170
150207  15  1.910
150207  16  3.290
150207  17  0.678
150207  18  0.902
150207  19  0.267
150207  20  1.013
150207  21  1.289
150207  22  0.111
150207  23 -0.083
150207  24 -0.024
150208  01  0.637
150208  02 -0.080
150208  03 -0.095
150208  04 -0.146
150208  05 -0.005
150208  06  0.071
150208  07  0.089
150208  08 -0.052
150208  09 -0.031
150208  10  0.169
150208  11  0.084
150208  12 -0.009
150208  13  0.069
150208  14  0.170
150208  15  0.063
150208  16  0.597
150208  17  0.916
150208  18  2.121
150208  19  2.372
150208  20  1.836
150208  21  1.610
150208  22  1.765
150208  23  1.906
150208  24  0.892
150209  01  0.748
150209  02  1.350
150209  03  1.044
150209  04  0.604
150209  05  0.884
150209  06  1.756
150209  07  2.354
150209  08  4.015
150209  09  4.473
150209  10  3.757
150209  11  1.708
150209  12  2.381
150209  13  2.177
150209  14  1.937
150209  15  0.629
150209  16  2.343
150209  17  1.809
150209  18  2.038
150209  19  1.479
150209  20  1.955
150209  21  1.980
150209  22  2.297
150209  23  1.203
150209  24  1.548
150210  01  1.035
150210  02  0.330
150210  03  0.288
150210  04 -0.464
150210  05 -0.157
150210  06  0.149
150210  07  0.648
150210  08  1.915
150210  09  2.766
150210  10  2.013
150210  11  0.551
150210  12 -1.174
150210  13 -0.798
150210  14 -0.479
150210  15  0.477
150210  16  1.867
150210  17  1.838
150210  18  1.151
150210  19  0.919
150210  20  2.394
150210  21  0.982
150210  22  0.908
150210  23  0.785
150210  24  0.627
150211  01  0.433
150211  02  0.490
150211  03  0.494
150211  04  0.355
150211  05  0.309
150211  06  0.217
150211  07  1.065
150211  08  2.097
150211  09  2.329
150211  10  1.418
150211  11  1.322
150211  12  1.454
150211  13  1.435
150211  14  1.233
150211  15  1.438
150211  16  0.986
150211  17  0.567
150211  18  0.545
150211  19  1.017
150211  20  1.631
150211  21  1.728
150211  22  1.742
150211  23  1.768
150211  24  1.710
150212  01  0.970
150212  02  0.772
150212  03  0.523
150212  04  0.662
150212  05  0.543
150212  06  0.471
150212  07  0.795
150212  08  0.727
150212  09  0.968
150212  10  1.254
150212  11  0.900
150212  12 -0.272
150212  13 -0.730
150212  14 -0.306
150212  15  0.229
150212  16  0.801
150212  17  0.803
150212  18  1.002
150212  19  2.339
150212  20  2.124
150212  21  1.369
150212  22  1.812
150212  23  1.504
150212  24  1.755
150213  01  1.662
150213  02  1.333
150213  03  1.479
150213  04  0.861
150213  05  0.923
150213  06  0.724
150213  07  0.652
150213  08  0.859
150213  09  0.973
150213  10  0.938
150213  11  0.967
150213  12  0.982
150213  13  0.863
150213  14  1.066
150213  15  1.127
150213  16 -0.063
150213  17 -0.336
150213  18 -0.012
150213  19  0.999
150213  20  0.975
150213  21 -0.011
150213  22  0.478
150213  23  0.197
150213  24  0.214
150214  01  0.465
150214  02  0.007
150214  03 -0.365
150214  04 -0.260
150214  05 -0.290
150214  06  0.152
150214  07 -0.081
150214  08  0.359
150214  09 -0.113
150214  10 -0.049
150214  11  0.159
150214  12 -0.036
150214  13  0.299
150214  14  0.548
150214  15  0.072
150214  16  0.376
150214  17  0.009
150214  18  0.699
150214  19  0.396
150214  20  1.268
150214  21  1.324
150214  22  1.151
150214  23  0.746
150214  24  1.285
150215  01  0.606
150215  02  1.550
150215  03  0.871
150215  04  0.992
150215  05  0.966
150215  06  0.952
150215  07  0.239
150215  08  0.937
150215  09  0.819
150215  10  0.581
150215  11  0.782
150215  12  0.369
150215  13  0.373
150215  14  0.606
150215  15  0.434
150215  16  0.352
150215  17  0.259
150215  18  0.359
150215  19 -0.215
150215  20  0.235
150215  21 -0.783
150215  22  1.575
150215  23  1.778
150215  24  2.618
150216  01  2.415
150216  02  2.326
150216  03  1.962
150216  04  1.362
150216  05  1.610
150216  06  1.597
150216  07  2.015
150216  08  2.469
150216  09  3.577
150216  10  2.383
150216  11  2.004
150216  12  0.880
150216  13  0.179
150216  14  0.595
150216  15  0.162
150216  16  0.887
150216  17  1.373
150216  18  1.817
150216  19  2.016
150216  20  2.858
150216  21  2.325
150216  22  0.925
150216  23  0.608
150216  24  0.446
150217  01  0.642
150217  02 -1.555
150217  03 -0.483
150217  04  0.359
150217  05  1.237
150217  06  1.893
150217  07  3.091
150217  08  2.925
150217  09  3.575
150217  10  2.509
150217  11  2.066
150217  12  2.684
150217  13  2.985
150217  14  1.230
150217  15 -0.127
150217  16  0.401
150217  17  0.719
150217  18  2.224
150217  19  2.747
150217  20  4.355
150217  21  7.039
150217  22  7.731
150217  23  5.398
150217  24  5.603
150218  01  5.270
150218  02  3.708
150218  03  2.788
150218  04  2.161
150218  05  2.019
150218  06  1.982
150218  07  1.719
150218  08  2.466
150218  09  3.341
150218  10  3.302
150218  11  2.558
150218  12  0.997
150218  13  1.972
150218  14  0.767
150218  15 -0.067
150218  16  0.078
150218  17  1.549
150218  18  1.378
150218  19  2.099
150218  20  1.805
150218  21  1.115
150218  22  0.556
150218  23  0.381
150218  24  0.463
150219  01 -0.486
150219  02 -0.043
150219  03  0.710
150219  04  0.887
150219  05  0.193
150219  06  0.499
150219  07  0.241
150219  08  1.304
150219  09  1.665
150219  10  1.352
150219  11  1.070
150219  12  0.816
150219  13  0.346
150219  14  0.557
150219  15  0.960
150219  16  0.951
150219  17  1.225
150219  18  1.648
150219  19  1.652
150219  20  1.549
150219  21  1.089
150219  22  1.135
150219  23  0.871
150219  24  0.764
150220  01  0.843
150220  02  0.633
150220  03  0.380
150220  04  0.157
150220  05  0.270
150220  06  0.597
150220  07  0.966
150220  08  1.455
150220  09  1.805
150220  10  1.675
150220  11  1.819
150220  12  1.630
150220  13  1.687
150220  14  2.165
150220  15  2.544
150220  16  2.405
150220  17  2.976
150220  18  2.737
150220  19  2.620
150220  20  1.669
150220  21  2.160
150220  22  1.263
150220  23 -0.344
150220  24 -0.046
150221  01  0.202
150221  02  0.737
150221  03  0.713
150221  04  0.973
150221  05  1.224
150221  06  1.628
150221  07  2.388
150221  08  2.304
150221  09  3.018
150221  10  2.179
150221  11  1.319
150221  12  1.870
150221  13  0.820
150221  14  1.174
150221  15  1.462
150221  16  1.761
150221  17  2.096
150221  18  2.974
150221  19  3.918
150221  20  5.115
150221  21  6.302
150221  22  6.065
150221  23  3.249
150221  24  2.126
150222  01  2.174
150222  02  2.198
150222  03  1.354
150222  04  2.489
150222  05  1.834
150222  06  1.661
150222  07  2.665
150222  08  3.145
150222  09  3.593
150222  10  2.807
150222  11  1.440
150222  12  0.942
150222  13  0.482
150222  14  0.275
150222  15  0.491
150222  16  0.255
150222  17  0.734
150222  18  1.401
150222  19  0.887
150222  20  0.694
150222  21  0.791
150222  22  0.353
150222  23  0.129
150222  24 -0.018
150223  01  0.195
150223  02  0.200
150223  03  0.314
150223  04  0.282
150223  05  0.397
150223  06  0.736
150223  07  1.440
150223  08  2.701
150223  09  3.587
150223  10  3.189
150223  11  2.079
150223  12  0.935
150223  13  1.254
150223  14  1.671
150223  15  1.520
150223  16  1.164
150223  17  1.541
150223  18  1.542
150223  19  1.492
150223  20  1.796
150223  21  1.942
150223  22  1.173
150223  23  0.777
150223  24  0.927
150224  01  0.626
150224  02  0.361
150224  03  0.221
150224  04 -0.027
150224  05  0.306
150224  06  0.472
150224  07  0.814
150224  08  1.312
150224  09  1.805
150224  10  1.386
150224  11  1.730
150224  12  1.705
150224  13  1.997
150224  14  1.335
150224  15  1.526
150224  16  1.409
150224  17  1.471
150224  18  2.013
150224  19  2.814
150224  20  4.059
150224  21  3.979
150224  22  2.167
150224  23  1.854
150224  24  0.671
150225  01  1.342
150225  02  1.005
150225  03  0.703
150225  04  0.868
150225  05  1.555
150225  06  2.700
150225  07  2.958
150225  08  2.763
150225  09  2.147
150225  10  1.412
150225  11  1.567
150225  12  1.148
150225  13  1.102
150225  14  2.778
150225  15  1.404
150225  16  3.021
150225  17  3.593
150225  18  3.047
150225  19  3.085
150225  20  4.631
150225  21  4.857
150225  22  2.977
150225  23  3.290
150225  24  2.911
150226  01  1.304
150226  02  0.132
150226  03  0.125
150226  04 -0.325
150226  05  0.404
150226  06  0.820
150226  07  0.797
150226  08  0.891
150226  09  1.514
150226  10  1.290
150226  11  0.523
150226  12  0.965
150226  13  0.837
150226  14  0.409
150226  15  0.757
150226  16  1.195
150226  17  1.004
150226  18  0.926
150226  19  1.219
150226  20  1.197
150226  21  1.428
150226  22  0.867
150226  23  0.934
150226  24  0.315
150227  01 -0.209
150227  02 -0.099
150227  03  0.185
150227  04 -0.295
150227  05  0.293
150227  06  0.471
150227  07  0.975
150227  08  2.183
150227  09  2.297
150227  10  2.050
150227  11  1.453
150227  12  1.024
150227  13  0.886
150227  14  1.003
150227  15  0.983
150227  16  0.865
150227  17  1.187
150227  18  2.379
150227  19  3.782
150227  20  3.601
150227  21  4.516
150227  22  4.448
150227  23  5.317
150227  24  4.490
150228  01  0.892
150228  02  0.979
150228  03  0.767
150228  04  0.669
150228  05  0.725
150228  06  0.068
150228  07  0.132
150228  08  0.183
150228  09  0.262
150228  10  0.650
150228  11  0.525
150228  12  0.420
150228  13  0.314
150228  14  0.117
150228  15  0.275
150228  16  0.396
150228  17  0.605
150228  18  0.558
150228  19  0.607
150228  20  0.198
150228  21  0.069
150228  22 -0.072
150228  23 -0.067
150228  24  0.189
150301  01  0.023
150301  02  0.106
150301  03 -0.185
150301  04 -0.169
150301  05  0.212
150301  06  0.422
150301  07  0.333
150301  08  0.433
150301  09  0.521
150301  10  0.451
150301  11  0.364
150301  12  0.422
